task_id,task_type,priority,offset_ms,submit_ms,start_ms,end_ms,latency_ms,status,worker,exec_ms
mixed-42-00127,MATRIX_TASK,8,45217,45222,45236,45356,134,COMPLETED,worker-1,19
mixed-42-00128,HTTP_TASK,9,45224,45230,45358,45358,128,COMPLETED,worker-1,101
mixed-42-00129,CPU_TASK,3,45381,45384,45461,45461,77,COMPLETED,worker-1,7
mixed-42-00130,HTTP_TASK,8,45403,45406,45463,45569,163,COMPLETED,worker-1,101
mixed-42-00131,COMPRESS_TASK,2,45414,45419,45465,45572,153,COMPLETED,worker-1,77
mixed-42-00132,COMPRESS_TASK,10,45596,45607,45685,45685,78,COMPLETED,worker-1,47
mixed-42-00133,CPU_TASK,9,45944,45954,46007,46007,53,COMPLETED,worker-1,13
mixed-42-00134,COMPRESS_TASK,6,45947,45968,46009,46133,165,COMPLETED,worker-1,102
mixed-42-00135,CPU_TASK,8,45978,45990,46012,46012,22,COMPLETED,worker-1,8
mixed-42-00136,SORT_TASK,5,46096,46106,46143,46143,37,COMPLETED,worker-1,2
mixed-42-00137,MATRIX_TASK,10,46184,46194,46256,46256,62,COMPLETED,worker-1,24
mixed-42-00138,GRAPH_TASK,4,46188,46201,46258,46258,57,COMPLETED,worker-1,48
mixed-42-00139,COMPRESS_TASK,7,46227,46233,46260,46480,247,COMPLETED,worker-1,137
mixed-42-00140,SLEEP_TASK,9,46339,46351,46368,46485,134,COMPLETED,worker-1,56
mixed-42-00141,CPU_TASK,8,46341,46355,46371,46371,16,COMPLETED,worker-1,3
mixed-42-00142,GRAPH_TASK,9,46362,46366,46490,46490,124,COMPLETED,worker-1,22
mixed-42-00143,COMPRESS_TASK,2,46614,46626,46706,46945,319,COMPLETED,worker-1,262
mixed-42-00144,FILE_IO_TASK,10,46681,46692,46710,46819,127,COMPLETED,worker-1,38
mixed-42-00145,CPU_TASK,7,46704,46710,46823,46823,113,COMPLETED,worker-1,11
mixed-42-00146,FILE_IO_TASK,9,46714,46718,46826,46826,108,COMPLETED,worker-1,23
mixed-42-00147,MONTE_CARLO_TASK,6,46761,46764,46830,47063,299,COMPLETED,worker-1,235
mixed-42-00148,GRAPH_TASK,6,46797,46802,46840,47065,263,COMPLETED,worker-1,177
mixed-42-00149,MATRIX_TASK,5,46840,46848,46951,46951,103,COMPLETED,worker-1,5
mixed-42-00150,COMPRESS_TASK,10,46857,46867,46953,47068,201,COMPLETED,worker-1,108
mixed-42-00151,CPU_TASK,5,47007,47011,47070,47070,59,COMPLETED,worker-1,2
mixed-42-00152,COMPRESS_TASK,8,47018,47022,47075,47186,164,COMPLETED,worker-1,123
mixed-42-00153,MONTE_CARLO_TASK,9,47080,47083,47188,47294,211,COMPLETED,worker-1,132
mixed-42-00154,MONTE_CARLO_TASK,9,47188,47201,47295,47405,204,COMPLETED,worker-1,130
mixed-42-00155,HTTP_TASK,7,47208,47211,47298,47411,200,COMPLETED,worker-1,122
mixed-42-00156,FILE_IO_TASK,10,47415,47423,47518,47518,95,COMPLETED,worker-1,53
mixed-42-00157,MATRIX_TASK,2,47425,47433,47524,47524,91,COMPLETED,worker-1,19
mixed-42-00158,SLEEP_TASK,8,47561,47572,47634,47994,422,COMPLETED,worker-1,405
mixed-42-00159,HTTP_TASK,8,47627,47634,47751,47996,362,COMPLETED,worker-1,301
mixed-42-00160,GRAPH_TASK,6,47704,47718,47755,47755,37,COMPLETED,worker-1,12
mixed-42-00161,HTTP_TASK,7,47756,47760,47879,48105,345,COMPLETED,worker-1,235
